locale|resource_key|resource_value
BASE|address1|Address
en|address1|Address
BASE|address2|Appartment/Suite
en|address2|Appartment/Suite
BASE|altBody|Alternate Body
en|altBody|Alternate Body
BASE|application_msg1|msg
en|application_msg1|msg
BASE|application_msg2|msg
BASE|application_msg2|msg
en|application_msg2|msg
en|application_msg2|msg
BASE|application_msg4|msg
en|application_msg4|msg
BASE|applicationId|Application ID
en|applicationId|Application ID
BASE|attachment_type|File Type
en|attachment_type|File Type
BASE|career_msg1|msg
en|career_msg1|msg
BASE|career_msg2|msg
BASE|career_msg2|msg
en|career_msg2|msg
en|career_msg2|msg
BASE|career_msg4|msg
en|career_msg4|msg
BASE|careerId|Career ID
en|careerId|Career ID
BASE|category|Category
en|category|Category
BASE|cellphone|Cell Phone
en|cellphone|Cell Phone
BASE|certification_msg1|msg
en|certification_msg1|msg
BASE|certification_msg2|msg
BASE|certification_msg2|msg
en|certification_msg2|msg
en|certification_msg2|msg
BASE|certification_msg4|msg
en|certification_msg4|msg
BASE|citizenship|CitizenShip Required
en|citizenship|CitizenShip Required
BASE|city|City
en|city|City
BASE|class_name|Class
en|class_name|Class
BASE|clearance|Clearance
en|clearance|Clearance
BASE|clearance_type|Type Of Clearance
en|clearance_type|Type Of Clearance
BASE|configuration_msg1|msg
en|configuration_msg1|msg
BASE|configuration_msg2|msg
BASE|configuration_msg2|msg
en|configuration_msg2|msg
en|configuration_msg2|msg
BASE|configuration_msg4|msg
en|configuration_msg4|msg
BASE|country|Country
en|country|Country
BASE|current_salary|Current Salary
en|current_salary|Current Salary
BASE|data_type|Input Data Type
en|data_type|Input Data Type
BASE|date_certified|Date Issued
en|date_certified|Date Issued
BASE|description|Long Description
BASE|description|Description
en|description|Long Description
en|description|Description
BASE|desired_salary|Desired Salary
en|desired_salary|Desired Salary
BASE|eeo_msg1|msg
en|eeo_msg1|msg
BASE|eeo_msg2|msg
BASE|eeo_msg2|msg
en|eeo_msg2|msg
en|eeo_msg2|msg
BASE|eeo_msg4|msg
en|eeo_msg4|msg
BASE|email|Email
en|email|Email
BASE|email_msg1|msg
en|email_msg1|msg
BASE|email_msg2|msg
BASE|email_msg2|msg
en|email_msg2|msg
en|email_msg2|msg
BASE|email_msg4|msg
en|email_msg4|msg
BASE|emailbody|Body
en|emailbody|Body
BASE|emailfrom|From
en|emailfrom|From
BASE|emailsubject|Subject
en|emailsubject|Subject
BASE|employment_status|Employment Status
en|employment_status|Employment Status
BASE|ethnic|Ethnic
en|ethnic|Ethnic
BASE|file_data|Report Format
en|file_data|Report Format
BASE|file_name|File Name
en|file_name|File Name
BASE|file_size|File Size
en|file_size|File Size
BASE|first_name|First Name
en|first_name|First Name
BASE|gender|Gender
en|gender|Gender
BASE|homephone|Home Phone
en|homephone|Home Phone
BASE|id|Record ID
en|id|Record ID
BASE|item_order|Order
en|item_order|Order
BASE|item_type|Type
en|item_type|Type
BASE|item_value|Value
en|item_value|Value
BASE|item_version|Version
en|item_version|Version
BASE|job_notification|Notify of New Job Postings
en|job_notification|Notify of New Job Postings
BASE|language_msg1|msg
en|language_msg1|msg
BASE|language_msg2|msg
BASE|language_msg2|msg
en|language_msg2|msg
en|language_msg2|msg
BASE|language_msg4|msg
en|language_msg4|msg
All|languages|BASE_Default,en_English
BASE|last_name|Last Name
en|last_name|Last Name
BASE|locale|Language
en|locale|Language
BASE|max_salary|Max Salary
en|max_salary|Max Salary
BASE|middle_initial|Middel Initial
en|middle_initial|Middel Initial
BASE|militaryvet|Military Veteran
en|militaryvet|Military Veteran
BASE|min_salary|Min Salary
en|min_salary|Min Salary
